"laufindexFolge";"id";"questionNumber";"typ";"fragetextAktuellerBeruf";"fragetextVergangenerBeruf";"antwort.pos";"antwort.text";"antwort.kldb";"antwort.isco";"followUp"
644;"3585";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium";"72133";"3321";NA
645;"3587";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
646;"3587";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"72302";"4311";NA
647;"3587";1;"";"";"";"2";"eine Fortbildung zum Steuerfachwirt oder vergleichbar";"72303";"3313";NA
648;"3587";1;"";"";"";"3";"ein Masterstudium im Bereich Wirtschafts- oder Rechtswissenschaften";"72304";"2411";NA
649;"3587";1;"";"";"";"4";"eine bestandene Steuerberaterprüfung";"72304";"2411";NA
650;"3597";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
651;"3597";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"71522";"3333";NA
652;"3597";1;"";"";"";"2";"eine berufliche Weiterbildung";"71523";"3333";NA
653;"3597";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium";"71523";"3333";NA
654;"4002";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
655;"4002";1;"";"";"";"1";"Techniker/in der Fachrichtung Biotechnik oder eine verwandte Weiterbildung";"41213";"3141";NA
656;"4002";1;"";"";"";"2";"ein abgeschlossenes Bachelorstudium im Bereich Biotechnologie oder ein vergleichbares Studium";"41213";"3141";NA
657;"4002";1;"";"";"";"3";"ein abgeschlossenes Masterstudium im Bereich Biotechnologie oder ein vergleichbares Studium";"41214";"3141";NA
658;"4014";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
659;"4014";1;"";"";"";"1";"nein";"41323";"3111";NA
660;"4014";1;"";"";"";"2";"ja";"41324";"2145";NA
661;"4035";1;"spezialisierung";"In welchem Bereich sind Sie vorwiegend tätig?";"In welchem Bereich waren Sie vorwiegend tätig?";"";"";"";"";""
662;"4035";1;"";"";"";"1";"Konzeption von speziellen IT-Systemen für verschiedene Aufgaben und Anwenderbedürfnisse";"";"2511";NA
663;"4035";1;"";"";"";"2";"Entwurf und Entwicklung von Computersoftware";"";"2512";NA
664;"4035";1;"";"";"";"3";"Entwicklung und Entwurf von Webseiten und Online-shops/ E-Commerce";"";"2513";NA
665;"4035";1;"";"";"";"4";"Entwicklung und Wartung von Code";"";"2514";NA
666;"4035";1;"";"";"";"5";"Entwicklung, Kontrolle und Wartung von Datenbanken";"";"2521";NA
667;"4035";1;"";"";"";"6";"Wartung und Verwaltung von informationstechnischen Systemen";"";"2522";NA
668;"4035";1;"";"";"";"7";"Erforschung und Weiterentwicklung von Netzwerkarchitekturen zur Leistungsoptimierung";"";"2523";NA
669;"4035";2;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
670;"4035";2;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"43112";"";NA
671;"4035";2;"";"";"";"2";"eine vertiefende berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"43113";"";NA
672;"4035";2;"";"";"";"3";"ein abgeschlossenes Bachelorstudium in Informatik, Wirtschafsinformatik oder ein vergleichbares Studium";"43113";"";NA
673;"4035";2;"";"";"";"4";"ein abgeschlossenes Masterstudium in Informatik, Wirtschafsinformatik oder ein vergleichbares Studium";"43114";"";NA
674;"4037";1;"spezialisierung";"In welchem Bereich sind Sie vorwiegend tätig?";"In welchem Bereich waren Sie vorwiegend tätig?";"";"";"";"";""
675;"4037";1;"";"";"";"1";"Konzeption von speziellen IT-Systemen für verschiedene Aufgaben und Anwenderbedürfnisse";"";"2511";NA
676;"4037";1;"";"";"";"2";"Entwurf und Entwicklung von Computersoftware";"";"2512";NA
677;"4037";1;"";"";"";"3";"Entwicklung von Steuerprogrammen für elektrotechnische Geräte und Maschinen";"";"2152";NA
678;"4037";1;"";"";"";"4";"Entwicklung und Wartung von Code";"";"2514";NA
679;"4037";1;"";"";"";"5";"Verwaltung von Netzwerkdaten und Computernetzwerken";"";"3513";NA
680;"4037";1;"";"";"";"6";"Überwachung von Hardware, Software und Computerzubehör; um optimale Leistung zu garantieren";"";"3511";NA
681;"4037";1;"";"";"";"7";"Erforschung und Weiterentwicklung von Netzwerkarchitekturen zur Leistungsoptimierung";"";"2523";NA
682;"4037";2;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
683;"4037";2;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"43122";"";NA
684;"4037";2;"";"";"";"2";"eine vertiefende berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"43123";"";NA
685;"4037";2;"";"";"";"3";"ein abgeschlossenes Bachelorstudium in Informatik, Wirtschafsinformatik oder ein vergleichbares Studium";"43123";"";NA
686;"4037";2;"";"";"";"4";"ein abgeschlossenes Masterstudium in Informatik, Wirtschafsinformatik oder ein vergleichbares Studium";"43124";"";NA
687;"4038";1;"spezialisierung";"In welchem Bereich sind Sie vorwiegend tätig?";"In welchem Bereich waren Sie vorwiegend tätig?";"";"";"";"";""
688;"4038";1;"";"";"";"1";"Konzeption von speziellen IT-Systemen für verschiedene Aufgaben und Anwenderbedürfnisse";"";"2511";NA
689;"4038";1;"";"";"";"2";"Technischer Support für Problemdiagnosen und Fehlerbehebungen";"";"3512";NA
690;"4038";1;"";"";"";"3";"Errichtung und Verwaltung von Computernetzwerken";"";"3513";NA
691;"4038";1;"";"";"";"4";"Wartung und Administration von Webseiten";"";"3514";NA
692;"4038";1;"";"";"";"5";"Entwurf und Entwicklung von Computersoftware";"";"2512";NA
693;"4038";1;"";"";"";"6";"Schreiben und Wartung von Programmcode";"";"2514";NA
694;"4038";1;"";"";"";"7";"Entwicklung, Kontrolle und Wartung von Datenbanken";"";"2521";NA
695;"4038";1;"";"";"";"8";"Wartung und Verwaltung von informationstechnischen Systemen";"";"2522";NA
696;"4038";1;"";"";"";"9";"Erforschung und Weiterentwicklung von Netzwerkarchitekturen zur Leistungsoptimierung";"";"2523";NA
697;"4038";2;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
698;"4038";2;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"43102";"";NA
699;"4038";2;"";"";"";"2";"eine vertiefende berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"43103";"";NA
700;"4038";2;"";"";"";"3";"ein abgeschlossenes Bachelorstudium in Informatik, Medieninformatik oder ein vergleichbares Studium";"43103";"";NA
701;"4038";2;"";"";"";"4";"ein abgeschlossenes Masterstudium in Informatik, Medieninformatik oder ein vergleichbares Studium";"43104";"";NA
702;"4040";1;"spezialisierung";"In welchem Bereich sind Sie vorwiegend tätig?";"In welchem Bereich waren Sie vorwiegend tätig?";"";"";"";"";""
703;"4040";1;"";"";"";"1";"Entwicklung von Computersoftware";"43134";"2512";NA
704;"4040";1;"";"";"";"2";"Konzeption und Entwicklung von IT-Systemen für spezielle Anforderungen";"43134";"2511";NA
705;"4041";1;"spezialisierung";"In welchem Bereich sind Sie vorwiegend tätig?";"In welchem Bereich waren Sie vorwiegend tätig?";"";"";"";"";""
706;"4041";1;"";"";"";"1";"Entwicklung von Computersoftware";"43134";"2512";NA
707;"4041";1;"";"";"";"2";"Konzeption und Entwicklung von IT-Systemen für spezielle Anforderungen";"43134";"2511";NA
708;"4041";1;"";"";"";"3";"Entwicklung, Kontrolle und Wartung von Datenbanken";"43134";"2521";NA
709;"4042";1;"spezialisierung";"In welchem Bereich sind Sie vorwiegend tätig?";"In welchem Bereich waren Sie vorwiegend tätig?";"";"";"";"";""
710;"4042";1;"";"";"";"1";"Entwicklung von Computersoftware";"43144";"2512";NA
711;"4042";1;"";"";"";"2";"Konzeption und Entwicklung von IT-Systemen für spezielle Anforderungen";"43144";"2511";NA
712;"4042";1;"";"";"";"3";"Entwicklung, Kontrolle und Wartung von Datenbanken";"43144";"2521";NA
713;"4043";1;"spezialisierung";"In welchem Bereich sind Sie vorwiegend tätig?";"In welchem Bereich waren Sie vorwiegend tätig?";"";"";"";"";""
714;"4043";1;"";"";"";"1";"Entwurf und Entwicklung von Computersoftware";"";"2512";NA
715;"4043";1;"";"";"";"2";"Entwicklung und Entwurf von Webseiten, Grafiken, Videos und Animationen";"";"2513";NA
716;"4043";1;"";"";"";"3";"Entwicklung und Wartung von Code";"";"2514";NA
717;"4043";1;"";"";"";"4";"Entwicklung, Kontrolle und Wartung von Datenbanken";"";"2521";NA
718;"4043";1;"";"";"";"5";"Wartung und Administration von Webseiten";"";"3514";NA
719;"4043";2;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
720;"4043";2;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"43152";"";NA
721;"4043";2;"";"";"";"2";"eine vertiefende berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"43153";"";NA
722;"4043";2;"";"";"";"3";"ein abgeschlossenes Bachelorstudium in Informatik, Medieninformatik oder ein vergleichbares Studium";"43153";"";NA
723;"4043";2;"";"";"";"4";"ein abgeschlossenes Masterstudium in Informatik, Medieninformatik oder ein vergleichbares Studium";"43154";"";NA
724;"4048";1;"spezialisierung";"In welchem Bereich sind Sie vorwiegend tätig?";"In welchem Bereich waren Sie vorwiegend tätig?";"";"";"";"";""
725;"4048";1;"";"";"";"1";"Konzeption und Bewertung von IT-Systemen für verschiedene Anwenderbedürfnisse";"43224";"2511";NA
726;"4048";1;"";"";"";"2";"Kundensupport und Überprüfung von IT-Systemen und Software";"43224";"3512";NA
727;"4219";1;"spezialisierung";"Mit welchem spezifischen Fachgebiet beschäftigen Sie sich?";"Mit welchem spezifischen Fachgebiet haben Sie sich beschäftigt?";"";"";"";"";""
728;"4219";1;"";"";"";"1";"Eigenschaften und Herstellung von Polymeren";"41384";"2113";NA
729;"4219";1;"";"";"";"2";"Organische Chemie";"41384";"2113";NA
730;"4219";1;"";"";"";"3";"Anorganische Chemie";"41384";"2113";NA
731;"4219";1;"";"";"";"4";"Chemische Analyse von Stoffen zu vorgegeben Zwecken, z.B. in der Forensik oder Produktionsüberwachung";"41384";"2113";NA
732;"4219";1;"";"";"";"5";"Chemische Analyse von Arzneimitteln, z.B. im Hinblick auf toxikologische Risiken";"41384";"2113";NA
733;"4219";1;"";"";"";"6";"Lebensmittelchemie";"41384";"2113";NA
734;"4219";1;"";"";"";"7";"Planung und Überwachung von Geschäfts- und Produktionsprozessen in der chemischen und pharmazeutischen Industrie";"41384";"2113";NA
735;"4219";1;"";"";"";"8";"Erforschung von Inhaltsstoffen natürlicher Organismen und Nutzung dieser Stoffe für Pharmazie, Landwirtschaft, Lebensmittelherstellung";"41384";"2113";NA
736;"5001";1;"sonstige";"Führen Sie Lageraufzeichnungen durch?";"Haben Sie Lageraufzeichnungen durchgeführt?";"";"";"";"";""
737;"5001";1;"";"";"";"1";"Ja";"51312";"4321";NA
738;"5001";1;"";"";"";"2";"Nein";"51311";"9333";NA
739;"5010";1;"aufsicht";"Ist ein wesentlicher Bestandteil ihrer Arbeit, andere Arbeitnehmer zu beaufsichtigen oder als Führungskraft strategische Entscheidungen für das Unternehmen zu treffen?";"War ein wesentlicher Bestandteil ihrer Arbeit, andere Arbeitnehmer zu beaufsichtigen oder als Führungskraft strategische Entscheidungen für das Unternehmen zu treffen?";"";"";"";"";""
740;"5010";1;"";"";"";"1";"weder Führungs- noch Aufsichtstätigkeit";"51512";"4323";NA
741;"5010";1;"";"";"";"2";"Aufsichtstätigkeit mit Verantwortung für untergeordnetes Personal";"51593";"4323";NA
742;"5010";1;"";"";"";"3";"Führungstätigkeit mit strategischer Entscheidungsbefugnis (z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen, oder zur Einstellung und Entlassung von Personal)";"51594";"1324";NA
743;"5011";1;"aufsicht";"Ist ein wesentlicher Bestandteil ihrer Arbeit, andere Arbeitnehmer zu beaufsichtigen oder als Führungskraft strategische Entscheidungen für das Unternehmen zu treffen?";"War ein wesentlicher Bestandteil ihrer Arbeit, andere Arbeitnehmer zu beaufsichtigen oder als Führungskraft strategische Entscheidungen für das Unternehmen zu treffen?";"";"";"";"";""
744;"5011";1;"";"";"";"1";"weder Führungs- noch Aufsichtstätigkeit";"51522";"8312";NA
745;"5011";1;"";"";"";"2";"Aufsichtstätigkeit mit Verantwortung für untergeordnetes Personal";"51593";"8312";NA
746;"5011";1;"";"";"";"3";"Führungstätigkeit mit strategischer Entscheidungsbefugnis (z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen, oder zur Einstellung und Entlassung von Personal)";"51594";"1324";NA
747;"5014";1;"aufsicht";"Ist ein wesentlicher Bestandteil ihrer Arbeit, andere Arbeitnehmer zu beaufsichtigen oder als Führungskraft strategische Entscheidungen für das Unternehmen zu treffen?";"War ein wesentlicher Bestandteil ihrer Arbeit, andere Arbeitnehmer zu beaufsichtigen oder als Führungskraft strategische Entscheidungen für das Unternehmen zu treffen?";"";"";"";"";""
748;"5014";1;"";"";"";"1";"weder Führungs- noch Aufsichtstätigkeit";"51532";"4323";NA
749;"5014";1;"";"";"";"2";"Aufsichtstätigkeit mit Verantwortung für untergeordnetes Personal";"51593";"4323";NA
750;"5014";1;"";"";"";"3";"Führungstätigkeit mit strategischer Entscheidungsbefugnis (z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen, oder zur Einstellung und Entlassung von Personal)";"51594";"1324";NA
751;"5015";1;"aufsicht";"Ist ein wesentlicher Bestandteil ihrer Arbeit, andere Arbeitnehmer zu beaufsichtigen oder als Führungskraft strategische Entscheidungen für das Unternehmen zu treffen?";"War ein wesentlicher Bestandteil ihrer Arbeit, andere Arbeitnehmer zu beaufsichtigen oder als Führungskraft strategische Entscheidungen für das Unternehmen zu treffen?";"";"";"";"";""
752;"5015";1;"";"";"";"1";"weder Führungs- noch Aufsichtstätigkeit";"51533";"3154";NA
753;"5015";1;"";"";"";"2";"Aufsichtstätigkeit mit Verantwortung für untergeordnetes Personal";"51593";"3154";NA
754;"5015";1;"";"";"";"3";"Führungstätigkeit mit strategischer Entscheidungsbefugnis (z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen, oder zur Einstellung und Entlassung von Personal)";"51594";"1324";NA
755;"5016";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
756;"5016";1;"";"";"";"1";"Ja";"51594";"1324";NA
757;"5016";1;"";"";"";"2";"Nein";"51534";"2149";NA
758;"5017";1;"aufsicht";"Ist ein wesentlicher Bestandteil ihrer Arbeit, andere Arbeitnehmer zu beaufsichtigen oder als Führungskraft strategische Entscheidungen für das Unternehmen zu treffen?";"War ein wesentlicher Bestandteil ihrer Arbeit, andere Arbeitnehmer zu beaufsichtigen oder als Führungskraft strategische Entscheidungen für das Unternehmen zu treffen?";"";"";"";"";""
759;"5017";1;"";"";"";"1";"weder Führungs- noch Aufsichtstätigkeit";"51543";"3152";NA
760;"5017";1;"";"";"";"2";"Aufsichtstätigkeit mit Verantwortung für untergeordnetes Personal";"51593";"3152";NA
761;"5017";1;"";"";"";"3";"Führungstätigkeit mit strategischer Entscheidungsbefugnis (z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen, oder zur Einstellung und Entlassung von Personal)";"51594";"1324";NA
762;"5018";1;"aufsicht";"Ist ein wesentlicher Bestandteil ihrer Arbeit, andere Arbeitnehmer zu beaufsichtigen oder als Führungskraft strategische Entscheidungen für das Unternehmen zu treffen?";"War ein wesentlicher Bestandteil ihrer Arbeit, andere Arbeitnehmer zu beaufsichtigen oder als Führungskraft strategische Entscheidungen für das Unternehmen zu treffen?";"";"";"";"";""
763;"5018";1;"";"";"";"1";"weder Führungs- noch Aufsichtstätigkeit";"51583";"3119";NA
764;"5018";1;"";"";"";"2";"Aufsichtstätigkeit mit Verantwortung für untergeordnetes Personal";"51593";"3119";NA
765;"5018";1;"";"";"";"3";"Führungstätigkeit mit strategischer Entscheidungsbefugnis (z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen, oder zur Einstellung und Entlassung von Personal)";"51594";"1324";NA
766;"5022";1;"anforderungsniveau";"Ist für Ihrer Tätigkeit in der Regel ein abgeschlossenes Masterstudium der Verkehrswirtschaft erforderlich?";"War für Ihrer Tätigkeit in der Regel ein abgeschlossenes Masterstudium der Verkehrswirtschaft erforderlich?";"";"";"";"";""
767;"5022";1;"";"";"";"1";"Ja";"51614";"2433";NA
768;"5022";1;"";"";"";"2";"Nein";"51613";"3322";NA
769;"5025";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
770;"5025";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"51622";"4323";NA
771;"5025";1;"";"";"";"2";"eine vertiefende berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"51623";"3331";NA
772;"5025";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium im Bereich Betriebswirtschaftslehre, Logistik oder ein vergleichbares Studium";"51623";"3331";NA
773;"5025";1;"";"";"";"4";"ein abgeschlossenes Masterstudium im Bereich Betriebswirtschaftslehre, Logistik oder ein vergleichbares Studium";"51624";"2421";NA
774;"5028";1;"sonstige";"Führen Sie Lageraufzeichnungen durch?";"Haben Sie Lageraufzeichnungen durchgeführt?";"";"";"";"";""
775;"5028";1;"";"";"";"1";"Ja";"51312";"4321";NA
776;"5028";1;"";"";"";"2";"Nein";"51311";"9333";NA
777;"5047";1;"sonstige";"Gehört es zu Ihren Tätigkeiten, Piloten auszubilden oder Personaleinsatzpläne zu entwerfen?";"Hat es zu Ihren Tätigkeiten gehört, Piloten auszubilden oder Personaleinsatzpläne zu entwerfen?";"";"";"";"";""
778;"5047";1;"";"";"";"1";"Ja";"52314";"3153";NA
779;"5047";1;"";"";"";"2";"Nein";"52313";"3153";NA
780;"5053";1;"sonstige";"Sind Sie verantwortlich für die wirtschaftliche Führung von Schiffen sowie die Durchführung von Ausbildungen an Bord?";"Waren Sie verantwortlich für die wirtschaftliche Führung von Schiffen sowie die Durchführung von Ausbildungen an Bord?";"";"";"";"";""
781;"5053";1;"";"";"";"1";"Ja";"52423";"3152";NA
782;"5053";1;"";"";"";"2";"Nein";"52422";"3152";NA
783;"5076";1;"spezialisierung";"In welchem Bereich sind Sie vorwiegend tätig?";"In welchem Bereich waren Sie vorwiegend tätig?";"";"";"";"";""
784;"5076";1;"";"";"";"1";"im Wach- und Sicherheitsgewerbe";"53193";"5414";NA
785;"5076";1;"";"";"";"2";"im Werkschutz";"53193";"3119";NA
786;"5076";1;"";"";"";"3";"in der Badeaufsicht";"53193";"5419";NA
787;"5078";1;"anforderungsniveau";"Sind Sie Beamte/r im mittleren, gehobenen oder höheren Dienst?";"Waren Sie Beamte/r im mittleren, gehobenen oder höheren Dienst?";"";"";"";"";""
788;"5078";1;"";"";"";"1";"im mittleren Dienst oder vergleichbar";"53212";"5412";"FALSE"
789;"5078";1;"";"";"";"2";"im gehobenen Dienst oder vergleichbar";"53213";"5412";"FALSE"
790;"5078";1;"";"";"";"3";"im höheren Dienst oder vergleichbar";"53214";"1349";NA
791;"5078";2;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
792;"5078";2;"";"";"";"1";"ja";"53214";"1349";NA
793;"5078";2;"";"";"";"2";"Nein";"53214";"5412";NA
794;"5079";1;"anforderungsniveau";"Sind Sie Beamte/r im mittleren, gehobenen oder höheren Dienst?";"Waren Sie Beamte/r im mittleren, gehobenen oder höheren Dienst?";"";"";"";"";""
795;"5079";1;"";"";"";"1";"im mittleren Dienst oder vergleichbar";"53222";"3355";NA
796;"5079";1;"";"";"";"2";"im gehobenen Dienst oder vergleichbar";"53223";"3355";NA
797;"5079";1;"";"";"";"3";"im höheren Dienst oder vergleichbar";"53224";"3355";NA
798;"5080";1;"sonstige";"Für welche/n Auftraggeber arbeiten Sie hauptsächlich?";"Für welche/n Auftraggeber haben Sie hauptsächlich gearbeitet?";"";"";"";"";""
799;"5080";1;"";"";"";"1";"für Justizbehörden";"53232";"3411";NA
800;"5080";1;"";"";"";"2";"für Finanzverwaltungen";"53232";"3352";NA
801;"5085";1;"anforderungsniveau";"Sind Sie Beamte/r im mittleren, gehobenen oder höheren technischen Dienst?";"Waren Sie Beamte/r im mittleren, gehobenen oder höheren technischen Dienst?";"";"";"";"";""
802;"5085";1;"";"";"";"1";"im mittleren technischen Dienst oder vergleichbar";"53312";"3354";NA
803;"5085";1;"";"";"";"2";"im gehobenen technischen Dienst oder vergleichbar";"53313";"3354";NA
804;"5085";1;"";"";"";"3";"im höheren technischen Dienst oder vergleichbar";"53314";"2263";NA
805;"5088";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung als Lebensmittelkontrolleur/in erforderlich und werden Sie durch Behörden beauftragt?";"War für diese Tätigkeit in der Regel eine berufliche Weiterbildung als Lebensmittelkontrolleur/in erforderlich und werden Sie durch Behörden beauftragt?";"";"";"";"";""
806;"5088";1;"";"";"";"1";"Ja";"53333";"3257";NA
807;"5088";1;"";"";"";"2";"Nein";"53332";"3257";NA
808;"5089";1;"aufsicht";"Gehört es zu Ihren beruflichen Aufgaben, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"Hat es zu Ihren beruflichen Aufgaben gehört, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"";"";"";"";""
809;"5089";1;"";"";"";"1";"Ja";"53393";"7544";NA
810;"5089";1;"";"";"";"2";"Nein";"53342";"7544";NA
811;"5094";1;"anforderungsniveau";"Mussten Sie für diese Tätigkeit neues Wissen lernen?";"Mussten Sie für diese Tätigkeit neues Wissen lernen?";"";"";"";"";""
812;"5094";1;"";"";"";"1";"Ja";"54132";"8157";NA
813;"5094";1;"";"";"";"2";"Nein";"54101";"8157";NA
814;"5099";1;"aufsicht";"Gehört es zu Ihren beruflichen Aufgaben, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"Hat es zu Ihren beruflichen Aufgaben gehört, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"";"";"";"";""
815;"5099";1;"";"";"";"1";"Ja";"51193";"3115";NA
816;"5099";1;"";"";"";"2";"Nein";"51112";"8312";NA
817;"5100";1;"aufsicht";"Gehört es zu Ihren beruflichen Aufgaben, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"Hat es zu Ihren beruflichen Aufgaben gehört, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"";"";"";"";""
818;"5100";1;"";"";"";"1";"Ja";"51193";"3115";NA
819;"5100";1;"";"";"";"2";"Nein";"51113";"3115";NA
820;"5101";1;"aufsicht";"Gehört es zu Ihren beruflichen Aufgaben, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"Hat es zu Ihren beruflichen Aufgaben gehört, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"";"";"";"";""
821;"5101";1;"";"";"";"1";"Ja";"51193";"3115";NA
822;"5101";1;"";"";"";"2";"Nein";"51122";"9333";NA
823;"5102";1;"aufsicht";"Gehört es zu Ihren beruflichen Aufgaben, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"Hat es zu Ihren beruflichen Aufgaben gehört, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"";"";"";"";""
824;"5102";1;"";"";"";"1";"Ja";"51193";"3115";NA
825;"5102";1;"";"";"";"2";"Nein";"51123";"3115";NA
826;"5105";1;"sonstige";"Sind Sie für die Wartung funktechnischer Geräte auf dem Schiff verantwortlich?";"Waren Sie für die Wartung funktechnischer Geräte auf dem Schiff verantwortlich?";"";"";"";"";""
827;"5105";1;"";"";"";"1";"Ja";"51183";"3521";NA
828;"5105";1;"";"";"";"2";"Nein";"51182";"3521";NA
829;"5124";1;"sonstige";"Gehört es zu Ihren Tätigkeiten die Budgetierung von Werbemaßnahmen zu übernehmen und Gestaltungs- und Präsentationskonzepte zu entwerfen?";"Gehörte es zu Ihren Tätigkeiten die Budgetierung von Werbemaßnahmen zu übernehmen und Gestaltungs- und Präsentationskonzepte zu entwerfen?";"";"";"";"";""
830;"5124";1;"";"";"";"1";"Ja";"93223";"3432";NA
831;"5124";1;"";"";"";"2";"Nein";"93222";"3432";NA
832;"5128";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
833;"5128";1;"";"";"";"1";"Ja";"93304";"2651";NA
834;"5128";1;"";"";"";"2";"Nein";"93303";"2651";NA
835;"5141";1;"spezialisierung";"In welchem Bereich sind Sie vorwiegend tätig?";"In welchem Bereich waren Sie vorwiegend tätig?";"";"";"";"";""
836;"5141";1;"";"";"";"1";"in der Bildhauerei, Drechslerei und Spielzeugherstellung, in der Wachszieherei, im Vergolderhandwerk oder in anderen Bereichen der bildenden Kunst";"93393";"3122";NA
837;"5141";1;"";"";"";"2";"In der Keramik- und Glasgestaltung";"93493";"3122";NA
838;"5141";1;"";"";"";"3";"In der Schmuckherstellung und Gravur, Schilder- und Lichtreklameherstellung oder Metallbildnerei";"93593";"3122";NA
839;"5219";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
840;"5219";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"23222";"2166";NA
841;"5219";1;"";"";"";"2";"eine vertiefende berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"23223";"2166";NA
842;"5219";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium im Bereich Design und Mediendesign oder eines vergleichbaren Fachs";"23223";"2166";NA
